"p1","p2","ibd1"
"TGYE3710","AFWO3435",0
"TGYE3710","AFWO3434",0
"TGYE3710","AFWO3433",0
"TGYE3710","AFWO3432",0
"TGYE3710","AFWO3431",0
"TGYE3710","AFWO3430",0
"TGYE3710","AFWO3429",0
"TGYE3710","AFWO3428",0
"TGYE3710","AFWO3427",0
"TGYE3710","AFWO3426",0
"TGYE3710","AFWO3425",0
"TGYE3710","AFWO3424",0
"TGYE3710","AFWO3423",0
"TGYE3710","AFWO3422",0.099
"TGYE3709","TGYE3708",0.621
"TGYE3709","TGYE3707",0.526
"TGYE3709","TGYE3706",0.478
"TGYE3709","TGYE3705",0.478
"TGYE3709","TGYE3704",0.336
"TGYE3709","TGYE3703",0.004
"TGYE3709","TGYE3702",0.573
"TGYE3709","TGYE3701",0.099
"TGYE3709","TGYE3700",0.289
"TGYE3709","TGYE3699",0.716
"TGYE3709","TGYE3698",0.668
"TGYE3709","TGYE3697",0.573
"TGYE3709","TGYE3696",0.526
"TGYE3709","TGYE3695",0.81
"TGYE3709","TGYE3694",0.668
"TGYE3709","TGYE3693",0.716
"TGYE3709","TGYE3692",0.194
"TGYE3709","TGYE3691",0.478
"TGYE3709","TGYE3690",0.099
"TGYE3709","TGYE3689",0.716
"TGYE3709","TGSH4258",0.573
"TGYE3709","TGSH4257",0.478
"TGYE3709","TGSH4256",0.621
"TGYE3709","TGSH4255",0.478
"TGYE3709","TGSH4254",0.621
"TGYE3709","TGSH4253",0.289
"TGYE3709","TGSH4252",0.289
"TGYE3709","TGSH4251",0.336
"TGYE3709","TGSH4250",0.194
"TGYE3709","TGSH4249",0.147
"TGYE3709","TGSH4248",0.147
"TGYE3709","TGSH4247",0.194
"TGYE3709","TGSH4246",0.099
"TGYE3709","TGSH4245",0.194
"TGYE3709","TGSH4244",0.099
"TGYE3709","TGSH4243",0.384
"TGYE3709","TGSH4242",0
"TGYE3709","TGSH4241",0
"TGYE3709","TGSH4240",0.241
"TGYE3709","TGSH4239",0.621
"TGYE3709","TGSH4238",0.241
"TGYE3709","SNDI071910",0.573
"TGYE3709","SNDI071909",0.194
"TGYE3709","SNDI071908",0.478
"TGYE3709","SNDI071907",0.289
"TGYE3709","SNDI071906",0.621
"TGYE3709","SNDI071905",0.384
"TGYE3709","SNDI071904",0.099
"TGYE3709","SNDI071903",0.431
